Ticker	DIV	MO	VALUE	SIZE	PFT	GROWTH	MCAP	SECTOR	FRET
A	-0.648417066	-0.095657082	-0.46698584	-1.147885283	-0.224877227	-0.378285616	23482.4066	Pharmaceuticals, Biotechnology	0.017567568
AAL	-0.205914427	-1.473749748	2.359338971	-0.397498368	-0.736303954	0.119934748	11501.3429	Transportation	0.006438558
AAN	-1.059936112	0.372012874	0.459321479	-1.84687255	-0.812538696	0.057948412	4141.3371	Retailing	0.092078108
AAP	-1.110518931	-0.884436133	0.332239952	-1.152803724	-0.839194848	-0.1468332	11417.6354	Retailing	0.016736133
AAPL	-0.329978169	-0.584699027	0.03141188	1.374449045	0.561588179	0.044960682	1025899.027	Technology Hardware & Equipmen	0.026598288
ABBV	2.50052512	-1.691800338	0.880646281	0.023926169	0.909355774	0.268092717	110405.2323	Pharmaceuticals, Biotechnology	0.003406923
ABC	0.056831622	-0.574555889	1.322871627	-0.097603586	-0.890961625	0.271079217	17051.4419	Health Care Equipment & Servic	0.014105419
ABMD	-1.207609482	-2.923756107	-1.031377224	-2.29904658	0.646226132	1.249954491	7680.0087	Health Care Equipment & Servic	0.044967352
ABT	-0.197764254	0.601915997	-0.679916826	0.094254034	-0.612639212	0.01380078	144908.9267	Health Care Equipment & Servic	-0.002380356
ACC	1.281750857	0.380409119	-1.035063802	-1.866285709	-0.518833863	0.299938027	6712.105	Real Estate	-0.003893443
ACHC	-1.207609482	-1.495670468	1.132978151	-1.805446195	-0.841096757	1.104991618	2643.3427	Health Care Equipment & Servic	0.023858921
ACIW	-1.207609482	0.382105188	-0.579695947	-2.23839905	-0.811809196	0.007776557	3567.9614	Software & Services	0.008175278
ACM	-1.207609482	0.385465137	0.78112396	-1.025648678	-1.294365079	-0.103378752	5829.5798	Capital Goods	0.009234112
ACN	-0.116133157	0.472236787	-0.205592191	-0.062341503	0.115396754	-0.032045455	121009.4372	Software & Services	0.006201382
ADBE	-1.207609482	0.037421805	-1.185563869	-0.419515251	0.23234076	1.243740638	134070.4074	Software & Services	0.012037239
ADI	0.028500069	1.030933297	-0.315783043	-0.783483987	0.35329231	0.240492249	41753.9751	Semiconductors & Semiconductor	0.025636297
ADM	1.036663516	-1.495689123	0.443269793	-0.252074337	-1.046293465	-0.689147985	22473.9024	Food, Beverage & Tobacco	0.017349761
ADP	0.076560215	0.317483173	-0.560846078	-0.364417219	-0.100980354	-0.280917115	69031.8835	Software & Services	0.011199602
ADS	0.108190648	-2.50414633	1.671703004	-1.069534568	-0.210533204	0.413139569	6329.9717	Software & Services	0.036714322
ADSK	-1.207609482	-0.403665609	-1.570921116	-1.34273763	-1.044300786	0.199313021	32255.2236	Software & Services	0.038623644
AEE	0.337689167	0.417429018	0.001364572	-0.89057923	-0.399390867	-0.363597093	20149.1262	Utilities	0.002602472
AEO	1.183237259	-1.693034408	2.361404057	-2.02168732	-0.301469114	-0.711482248	2514.1703	Retailing	0.041551247
AEP	0.644226224	0.910938479	0.107206464	-0.294324805	-0.552448309	-0.512301916	46224.1606	Utilities	-0.002915452
AES	0.995589232	-0.142931591	1.442204419	-0.868656992	-0.573130381	-1.065082087	10641.5089	Utilities	0.012010114
AFG	-0.090971116	-0.643230521	1.009015619	-0.837262401	-1.000665664	-0.183711686	9378.2389	Insurance	0.010916601
AFL	0.133223322	0.162681862	0.847762693	-0.110384642	-0.309081805	-0.822814802	38573.9706	Insurance	0.007105819
AGCO	-0.64582971	0.543220617	1.056138931	-1.349859333	-1.006718944	-1.015739349	5618.1458	Capital Goods	0.023845834
AGN	-0.070919103	-1.020853536	-0.212115758	-0.177284077	-0.533557163	0.277776347	55264.6593	Pharmaceuticals, Biotechnology	0.007507597
AIG	0.313497384	-0.269222074	-0.256649898	0.383348437	-0.665843	-1.479405706	47349.1091	Insurance	0.006659267
AIV	0.68484772	0.37631751	-1.02846797	-1.830137703	-0.156052384	-0.528252109	7938.5054	Real Estate	0.00450197
AIZ	0.016792281	0.3588562	0.259911298	-0.959497582	-1.014379832	-0.568764785	7750.7869	Insurance	0.001911741
AJG	0.042213058	0.635329258	-0.242338392	-1.018279494	-0.79910672	0.413121735	16563.9508	Insurance	0.00583057
AKAM	-1.207609482	1.471884904	-0.606044414	-1.493754711	-0.46315602	0.092035219	14998.5586	Software & Services	0.002126231
AKRX	-1.207609482	-2.975943749	-1.601669799	-2.609907366	-2.51046926	0.463460267	500.7875	Pharmaceuticals, Biotechnology	0.034391534
ALB	0.226109419	-2.193462757	0.796566559	-1.539318477	-0.304402002	-0.022169294	7029.009	Materials	0.052703941
